job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
核心网工程师,华信东方,10-15K,北京·海淀区·六里桥,北京,大专,1-3年,,boss,PS 核心网 IMS 融合数据 SEQ 5GC,PS 核心网 IMS 融合数据 SEQ 5GC,https://www.zhipin.com/job_detail/4ce737885635e04a1HJ53N21EVVW.html
核心网工程师,华为技术有限公司,20-30K·14薪,北京·海淀区·西北旺,北京,本科,,,boss,核心网,核心网,https://www.zhipin.com/job_detail/d87ef9a44889f84f0nFz2tW4FVVT.html
核心网工程师,北京宜通,10-15K,北京·朝阳区·望京,北京,本科,3-5年,,boss,核心网 MMS MCS,核心网 MMS MCS,https://www.zhipin.com/job_detail/63ce3d7ac4bbd62b0nB83tm9FlZV.html
核心网工程师,德特赛维,12-24K,北京·西城区·西直门,北京,本科,经验不限,,boss,5G 4G 通信 DPI 大数据 人工智能 用户感知,5G 4G 通信 DPI 大数据 人工智能 用户感知,https://www.zhipin.com/job_detail/290454c33af8f0b21nZ93d27FVRW.html
核心网工程师,华为数字技术,15-30K,北京·海淀区·西北旺,北京,本科,,,boss,通信 核心网 5G,通信 核心网 5G,https://www.zhipin.com/job_detail/3de9cb581ff9093a1nV52ti0GVVY.html
核心网工程师,龙文华丰,15-25K,北京·海淀区·学院路,北京,本科,3-5年,,boss,C语言 5G 数字信号处理 卫星通信 卫星移动通信 LTE,C语言 5G 数字信号处理 卫星通信 卫星移动通信 LTE,https://www.zhipin.com/job_detail/f3e9ed0a8d59b82403F_2tm9EFBT.html
核心网工程师,天通立仁,8-13K,北京,北京,本科,3-5年,,boss,核心网 资源池 云平台,核心网 资源池 云平台,https://www.zhipin.com/job_detail/82ee7ce51dfa955d1XN83tW1F1pV.html
核心网工程师-北京,南京格安,8-13K,北京·朝阳区·朝外,北京,本科,3-5年,,boss,核心网,核心网,https://www.zhipin.com/job_detail/2949f1715a6b526c0nF82967FFVZ.html
中兴核心网PS 工程师,华服技术,20-25K,北京,北京,大专,5-10年,,boss,核心网 5G 4G,核心网 5G 4G,https://www.zhipin.com/job_detail/37fb16c2df1bd1570nZ42d-5FldQ.html
核心网工程师,阳光凯讯,12-20K·13薪,北京·丰台区·科技园区,北京,本科,3-5年,,boss,核心网 5G 4G 移动通信 网络协议 Linux IMS LTE,核心网 5G 4G 移动通信 网络协议 Linux IMS LTE,https://www.zhipin.com/job_detail/a078ff02d33002751n163di9EVdR.html
核心网工程师,中讯设计,10-14K,北京·西城区·金融街,北京,本科,1-3年,,boss,核心网 移动通信 LTE 5G 通信项目管理,核心网 移动通信 LTE 5G 通信项目管理,https://www.zhipin.com/job_detail/e1e48f43d7b911331nF_2d-6FVRS.html
核心网工程师（电信云）,嘉环科技股份有限公司,8-12K,北京·朝阳区·朝阳门,北京,本科,3-5年,,boss,核心网 IMS,核心网 IMS,https://www.zhipin.com/job_detail/51a072615c2382150nF92d21FFVT.html
