job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
嵌入式软件工程师,苏州市悠越电子,1.2-2.4万,苏州·高新区,苏州,本科,5年及以上,2026-08-07 13:39:12,job51,"负责汽车氛围灯控制系统的核心软件开发，确保产品与车辆网络无缝集成。具体工作包括： 
1、嵌入式软件开发：基于MCU（微控制器）平台，使用C语言进行氛围灯控制软件的设计、编码和调试。 
2、总线通信集成：实现CAN和LIN总线通信协议，负责氛围灯与车辆ECU（电子控制单元）的数据交换和命令处理。 
3、系统架构设计：参与软件架构规划，优化代码性能、功耗和可靠性，确保符合汽车行业标准（如AUTOSAR或功能安全要求）。 
4、测试与验证：进行单元测试、集成测试和实车测试，排查软硬件问题，确保产品稳定性和安全性。 
5、跨团队协作：与硬件工程师、测试工程师紧密合作，完成软硬件联调和技术文档编写。 
6、技术升级：跟踪汽车电子新技术，持续改进氛围灯功能（如动态效果、OTA升级等）。

要求：
1、 有单片机开发经验，偏软件，熟悉常用的开发工具，有一定的单片机编程经验；
2、 熟练掌握汇编语言和C语言；
3、5年以上相关经验。",MCU C语言 CAN 单片机 汇编 技术文档,https://jobs.51job.com/suzhou-gxq/173189877.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
高级ARM软件工程师,固德威技术,2.5-4.5万,苏州,苏州,本科,3年及以上,2026-08-07 14:39:52,job51,"""岗位职责：
1、光伏逆变器产品通信及接口软件设计开发，编写代码，调试，测试以及试产与量产相关工作。
2、在现有产品基础上，进行功能升级，满足客户定制化要求。
任职要求:
1、5年以上新能源物联网行业嵌入式工作经验，精通C语言，熟练使用STM32系列MCU。
2、熟悉UCOS-III、RTThread操作系统
3、熟悉WiFi，GPRS，以太网的TCP/IP网络协议。熟悉各种编程工具以及行业工具的使用，诸如编译工具、调试工具、代码查看工具、代码比较工具、抓包工具、代码管理工具等。
4、能设计外围接口，如:UART、USB、CAN、EARTHNET电路等""",C语言 STM32 MCU WiFi TCP/IP UART CAN,https://jobs.51job.com/suzhou/173191450.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
PC软件工程师,苏州欣华锐电子,8千-1万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 17:34:59,job51,"1.架构设计：负责 PC 端应用软件的整体架构设计，包括分层架构规划、模块划分、接口定义、数据流设计，搭建可扩展、可维护的软件架构。
2. 上位机通信开发：负责 PC 端与设备之间的通信协议设计与开发，精通网口（Ethernet/TCP/IP）、Type-C、USB 等主流通信接口的驱动开发与数据交互。
3. 设备控制软件：开发设备控制与数据采集上位机软件，实现设备状态监控、参数配置、数据上传下载、固件升级等功能。
4. 驱动开发：完成 USB 设备驱动、WinUSB/libusb 通用驱动封装、Type-C PD 协议交互、网口通信协议栈（Modbus TCP/UDP/自定义协议）的开发与调试。
5. 界面开发：负责 PC 端图形界面（GUI）设计与开发，提供直观、易用的设备控制与数据可视化界面。
6. 跨平台适配：完成软件在 Windows 与 Linux 双平台的编译与运行适配，维护跨平台构建脚本与 CI/CD 流程。
7. 调试与测试：使用主流开发工具进行代码调试、性能分析与单元测试，使用 Wireshark、USBlyzer 等协议分析工具进行通信报文抓包与问题定位。
8. 技术文档：编写软件架构设计文档、接口协议文档、调试手册及用户手册，其中含英文技术文档编写。
9. 跨团队协作：与嵌入式软件工程师、硬件工程师协作，对接设备固件协议、驱动接口与硬件寄存器映射，推动产品联调闭环。
10. 技术预研：跟踪 PC 端技术发展趋势，评估新技术方案（如微服务架构、跨平台框架、高性能通信等），完成技术调研与原型验证。",TCP/IP Modbus Linux CI/CD 微服务 数据采集 技术文档 技术方案,https://jobs.51job.com/suzhou-gyyq/173195865.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
机器人系统软件工程师,苏州镁伽科技,2.5-3.5万·16薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 16:08:47,job51,"工作职责:
1、负责机器人系统软件架构设计、核心模块开发与集成。
2、主导机器人操作系统(比如ROS 2、RTOS)、中间件(比如实时主站)、驱动及硬件抽象层的开发与优化。
3、与硬件、嵌入式、算法等团队协作，实现传感器数据流、运动控制、任务调度等系统模块的高效实时处理，优化系统整体性能。
4、保障系统稳定性、安全性与性能，解决底层关键技术难题。
5、编写核心代码、技术文档，主导代码审查，推动团队工程能力提升。
任职资格:
1、计算机、自动化、机器人等相关专业本科及以上学历，5年以上系统软件开发经验，需有机器人行业工作经验。
2、精通C++，熟悉Python，具备扎实的Linux系统、多线程/进程、网络编程能力。
3、熟悉机器人操作系统（ROS 2、RTOS），熟悉实时主站，有完整的机器人产品系统开发与部署经验。
4、熟悉常见的传感器、执行器通信与驱动开发（如EtherCAT、CAN等）。
5、具备嵌入式系统、实时系统或高性能计算优化经验者优先。
6、具备优秀的系统调试、性能分析与解决问题能力，能独立主导技术模块。",ROS RTOS C++ Python Linux CAN 技术文档,https://jobs.51job.com/suzhou-gyyq/173193686.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
嵌入式软件工程师,上海古鳌电子科技,1.5-1.8万,昆山,苏州,本科,3-4年,2026-06-15 15:01:12,job51,"此岗位包食宿
工作职责:
1、负责公司产品嵌入式软件部分研发；
2、使用C/C++语言进行嵌入式产品开发，参与嵌入式软件需求开发、设计、修改工作；
3、按照操作流程进行软件整体设计、详细设计和编码；
4、按照需求进行软件修改；与售后进行沟通，协助售后解决产品中出现的问题。
岗位要求：
1、本科、硕士学历，计算机、电子、控制或相关专业；
2、熟练掌握C/C++程序设计语言和数据结构，能够进行简单的嵌入式应用软件架构设计；
3、了解单片机、ARM(STM32)、DSP (TI28系列芯片)相关项目开发，掌握其中一种芯片
开发环境，具备较强的软件设计和调试能力优先考虑；
4、掌握SPI、CAN、485、USB口、I2C等接口协议开发；
5、具备相关硬件电路调试能力；
6、熟悉软件技术文档的编写；具备良好的文档编制习惯和代码书写规范；",C++ 单片机 ARM STM32 DSP SPI CAN I2C 技术文档,https://jobs.51job.com/kunshan/171321403.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
嵌入式软件工程师,苏州芯仪半导体科技,1.1-2万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-20 11:25:26,job51,"岗位职责

1、 从事嵌入式C\C++或Python语言的嵌入式程序的开发，编写模块测试程序；

2、 能利用ARM单片机、树莓派等嵌入式硬件，开展相关软件设计与调试；

3、 从事仪器及其模块的调试、测试工作；



任职要求：

1、 本科及以上学历，3年及以上工作经验，数学专业、应用物理、测控技术与仪器专业、电子工程、通信、自动化控制、计算机或相关专业；

2、 良好的代码风格和文档书写能力； 

3、能用韩语交流者优先

4、 熟悉的模拟/数字电路的硬件设计和调试，有使用DSP芯片经验者优先；




职位福利：五险一金、绩效奖金、带薪年假、午餐补贴、加班补助、创业公司、转岗/轮岗机会",C++ Python ARM 单片机 DSP,https://jobs.51job.com/suzhou-gyyq/172822699.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
嵌入式软件工程师,永联科技（常熟）,1.5-2万,常熟,苏州,本科,3年及以上,2026-06-23 18:35:44,job51,"岗位职责：
1.&nbsp;精通GD32、STM32系列单片机开发，熟练完成底层驱动、外设配置、硬件联调
2.&nbsp;熟练掌握FreeRTOS实时操作系统，能完成任务调度、中断管理、内存管理、多任务开发
3.&nbsp;熟练使用IAR开发环境，完成代码编写、编译、仿真、调试、烧录全流程操作
4.&nbsp;具备C语言扎实编程能力，熟悉嵌入式底层逻辑、硬件通信（串口、CAN、485等）
5.&nbsp;了解充电桩产品功能逻辑、安规要求、电气交互原理，能完成嵌入式软件与电气硬件适配开发
任职要求：
1.全日制本科学历，电子信息工程、电气工程、自动化等相关专业
2.嵌入式软件开发全职工作经验≥2年，具备独立单机开发、调试、迭代全流程经验，社招成熟型人才，无需从零培养",STM32 单片机 RTOS C语言 CAN,https://jobs.51job.com/changshu/171133796.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
嵌入式软件工程师,江苏超达智能科技,1.5-2.5万,苏州·吴江区,苏州,本科,3年及以上,2026-07-20 20:02:12,job51,"岗位职责：
1. 基于 Simulink/Stateflow 开发植保机器人 VCU 应用层模型（扭矩/转向/喷洒协同控制），完成 MIL/SIL 仿真验证。
2. 基于 C++ 将模型代码或手写算法移植到嵌入式平台，集成 CAN 通讯、底软驱动及Bootloader。
3. 负责台架与田间实车联调，解决转向抖动、扭矩突变、通讯丢帧等工程问题，确保算法与嵌入式运行等效。
4. 遵循软件架构规范，撰写设计文档，支持 XCP/CCP 标定及实车参数调试。

任职要求：
1. 本科及以上，3 年以上嵌入式开发经验，至少 1 年 VCU 或机器人运动控制器项目实战。
2. 精通 C++（C++11/14，多线程、内存管理），同时具备扎实的 C 语言驱动能力。
3. 熟练使用 Simulink/Stateflow 建模，熟悉 CAN/CANFD、DBC 解析及 UDS 诊断，了解功能安全（ISO 26262）基本概念。",C++ CAN Simulink Stateflow VCU MIL SIL XCP,https://jobs.51job.com/suzhou-wjq/172977464.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
嵌入式软件工程师,深圳市科沃电气技术,1.2-2万·14薪,苏州·吴江区,苏州,本科,3-5年,2026-08-08 08:06:15,job51,"岗位职责：
1、负责变频器功能软件开发和调试； 
2、根据不同的应用需求完成相关方案的开发和调试； 
3、负责老产品的软件升级；
4、承担部分产品的市场问题解决工作。
任职要求：
1、本科及以上学历，电气工程、电力电子、自动化、电机与电器、控制工程等相关专业；
2、具有变频器、伺服驱动器、逆变器等行业工作经验者优先，优秀应届毕业生也可；
3、精通C语言，熟悉TI的DSP芯片或者ST的ARM芯片应用；
4、责任心强，良好的沟通能力和团队合作精神。",C语言 DSP ARM,https://jobs.51job.com/suzhou-wjq/173132397.html?s=sou_sou_soulb&t=0_0&req=1019adca8337be17545dfb91ef45ae03
